 ,National,Dublin,Cork,Galway,Limerick,Other
1978Q1,41708,43353,40529,52219,40871,38552
1978Q2,46524,49635,44219,48755,43126,43333
1978Q3,48829,52298,45720,56876,45594,44817
1978Q4,47950,52054,45129,57852,43600,44229
1979Q1,51258,55952,49849,58730,48459,45260
1979Q2,59413,65629,58626,60262,56458,52349
1979Q3,58612,63159,63088,61672,62920,51679
1979Q4,58719,63901,57951,58836,59742,53570
1980Q1,61815,66675,65354,64888,60836,55044
1980Q2,64105,70783,62344,65568,61888,56682
1980Q3,67050,74059,69183,65749,63531,59600
1980Q4,70820,76155,71370,71664,70444,64027
1981Q1,73489,79229,69713,76889,74392,66817
1981Q2,77012,86822,73342,73057,72042,68990
1981Q3,81279,92172,71282,82006,81513,71809
1981Q4,80057,91476,71470,87916,79917,71513
1982Q1,82140,94348,70865,84416,72289,75708
1982Q2,85913,99233,78382,91024,78374,76855
1982Q3,83899,94045,71531,90760,80654,77076
1982Q4,85027,92235,74858,86447,81383,79791
1983Q1,84563,92863,75894,81675,80330,79034
1983Q2,86786,93951,75449,92103,78095,82622
1983Q3,90062,100338,76449,90874,82936,84754
1983Q4,89670,98901,76124,89465,83557,85287
1984Q1,90674,99361,78272,95910,83350,83534
1984Q2,91195,100700,77328,94593,81105,85089
1984Q3,90947,100191,78418,87653,87369,85117
1984Q4,89688,96939,78631,95496,87815,84991
1985Q1,90179,97806,80598,92582,83220,84941
1985Q2,92195,100111,81421,95088,85691,87251
1985Q3,93093,100907,82687,101843,89039,86379
1985Q4,93759,99528,87449,97476,90800,89283
1986Q1,92837,98505,81424,100821,88855,88904
1986Q2,96504,104293,86135,102991,91843,89973
1986Q3,96667,102959,87998,100694,94722,92242
1986Q4,94972,102888,88728,95568,89385,88663
1987Q1,93537,97846,84454,93442,92107,88758
1987Q2,92737,99173,86467,93022,87390,87930
1987Q3,96121,102607,90034,96139,92499,91221
1987Q4,99690,100741,97656,96891,93408,90579
1988Q1,99597,105130,92564,98244,96221,95622
1988Q2,100361,110643,92363,99463,96717,92554
1988Q3,105469,114797,102161,105427,93741,96023
1988Q4,106481,115778,101975,117240,107259,96731
1989Q1,108008,122683,100294,110066,104547,96363
1989Q2,109932,129128,104241,110250,102816,94630
1989Q3,113470,134649,106923,118819,103964,98056
1989Q4,121487,140819,112405,124052,109857,105969
1990Q1,125840,149448,114117,134650,116702,107289
1990Q2,128033,158441,113969,125678,113173,104308
1990Q3,129694,161558,116041,128246,120114,109908
1990Q4,128065,153090,119016,130170,121802,110316
1991Q1,130315,154735,120219,129636,122455,111351
1991Q2,128145,151199,119416,123503,117157,111391
1991Q3,130731,154900,119262,128946,116869,112618
1991Q4,134971,158805,126423,133722,122247,117369
1992Q1,135118,155866,122703,132849,115920,117881
1992Q2,134439,155896,122818,133131,115104,118700
1992Q3,133729,158185,121606,137526,111774,119218
1992Q4,135090,157121,121128,151006,120623,119397
1993Q1,133807,148642,125056,144598,120432,122304
1993Q2,136770,152595,126734,144472,131366,121650
1993Q3,136576,154134,126603,146938,128956,122196
1993Q4,138151,151980,131623,147320,123512,128141
1994Q1,143323,165293,135567,144091,127258,128691
1994Q2,142094,163021,135207,145650,127137,128152
1994Q3,141802,165751,130711,147480,124790,128481
1994Q4,143195,164903,140399,149539,127460,128506
1995Q1,148419,167033,141812,162815,127867,135131
1995Q2,151065,177175,144055,166229,131581,131779
1995Q3,151944,176364,145018,164282,135645,136158
1995Q4,157403,181513,154319,172374,137205,139338
1996Q1,159340,184535,152609,176164,149201,144561
1996Q2,170145,200252,159753,176519,153551,151877
1996Q3,179276,205674,167306,181361,151217,166563
1996Q4,181918,213932,169621,190628,163631,161651
1997Q1,185026,219751,172814,189588,158360,165843
1997Q2,199730,248422,181595,206976,166638,174994
1997Q3,207235,256575,184555,218553,166520,182812
1997Q4,227879,290004,193388,224660,182034,195996
1998Q1,235530,298659,209819,235168,193982,208359
1998Q2,253665,333938,217065,241025,196671,221600
1998Q3,265025,352109,220830,241522,198380,230411
1998Q4,283877,358429,239412,257550,213543,250664
1999Q1,295371,374213,254495,268737,224878,258516
1999Q2,300080,389882,265023,267394,230259,262621
1999Q3,319439,418823,290757,286857,249209,279664
1999Q4,332681,439192,310157,313174,257402,286891
2000Q1,334676,430834,323925,312001,274318,293517
2000Q2,357530,474678,328361,322065,281927,306521
2000Q3,367062,475361,343304,332422,298574,321518
2000Q4,378928,490140,347287,352373,298311,328143
2001Q1,386985,508238,353548,351511,303655,334755
2001Q2,400814,530041,363754,370144,319947,342872
2001Q3,383155,502515,345892,356446,308535,338614
2001Q4,382784,498174,352357,362947,301733,334737
2002Q1,403321,515116,363532,373546,320544,349197
2002Q2,423968,550380,379795,380475,343817,373568
2002Q3,428632,567341,388301,402970,341556,376205
2002Q4,447933,585934,406451,422880,359032,387710
2003Q1,457508,601906,416813,447697,372517,398306
2003Q2,490178,656659,435626,473426,391685,415619
2003Q3,491800,645761,470381,468357,412782,426974
2003Q4,513506,676103,482603,499991,412705,440754
2004Q1,512358,674658,483274,502840,402198,440377
2004Q2,547919,722435,506220,529994,448131,460193
2004Q3,542462,706809,525004,516123,417204,468721
2004Q4,571176,740886,529682,534969,453182,485942
2005Q1,569311,745002,535133,566413,425384,485848
2005Q2,607545,787203,575307,594223,461964,514255
2005Q3,603674,781483,571484,600221,462933,523047
2005Q4,638664,836672,601045,604498,478254,540626
2006Q1,643177,863625,607686,616057,506573,548190
2006Q2,687313,913926,682712,608428,554230,568841
2006Q3,699077,975255,688301,633389,536330,586812
2006Q4,688664,937195,659295,638518,535498,584818
2007Q1,700843,934011,697078,644971,543618,595676
2007Q2,718936,934444,691539,667544,550931,638027
2007Q3,693606,902073,705039,650134,576625,601998
2007Q4,681245,865152,682453,600764,591304,596839
2008Q1,670390,860172,663187,652797,542776,581959
2008Q2,670316,845686,660969,646538,538504,594983
2008Q3,637442,759385,654965,592042,534954,583157
2008Q4,605441,744660,626382,571955,521159,538161
2009Q1,552323,671367,518570,495553,514382,485357
2009Q2,528240,623767,507802,532175,465084,454821
2009Q3,487943,564983,468835,434895,395582,435498
2009Q4,471184,530984,465527,450924,405123,423338
2010Q1,473779,543645,468088,411984,398166,416740
2010Q2,506672,595660,510576,460732,434388,433624
2010Q3,511183,635767,482352,472857,454128,433129
2010Q4,502169,588490,508796,448184,465934,432256
2011Q1,516499,655712,512025,423837,421506,436625
2011Q2,507407,636810,471532,457643,414545,431649
2011Q3,479893,606859,457206,449559,423063,410521
2011Q4,471890,604135,454999,440531,427340,390713
2012Q1,463889,597532,460208,429887,389247,382073
2012Q2,479191,615283,461650,434632,394700,403590
2012Q3,473095,585046,454683,406424,428420,393994
2012Q4,461160,550995,446957,429003,394225,385632
2013Q1,470438,595894,433285,445375,418151,389051
2013Q2,484462,661431,466088,403886,381871,379328
2013Q3,489487,668379,444157,414596,383402,383980
2013Q4,488473,659141,456695,409280,362871,381594
2014Q1,487226,656810,424192,422514,377069,386197
2014Q2,512912,709901,453540,431637,386792,393431
2014Q3,511792,689783,456663,432743,367124,396986
2014Q4,514947,668558,470445,381935,384649,413795
2015Q1,526902,684465,443162,452601,414149,430155
2015Q2,542022,730123,479035,433458,395620,446542
2015Q3,552545,709317,489330,440802,410250,461197
2015Q4,562167,726767,490586,442171,405947,465692
2016Q1,573961,738966,505883,467697,418771,455809
2016Q2,592402,752456,529122,482527,443160,475594
2016Q3,581066,750524,534627,481890,431612,473528
2016Q4,607028,755260,559175,471554,428979,485090
